material_name,page,zone_id,width_mm,height_mm,area_m2,bbox_area_m2,scale_mm_per_px,scale_source,area_px,width_px,height_px,bbox_px,material_line
Натуральный камень,1,p001-z0454,13.3,54.2,0.0007,0.0007,0.317134,dimension_line,6818.0,42,171,"[44, 2514, 86, 2685]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0455,13.3,54.2,0.0007,0.0007,0.317134,dimension_line,6956.5,42,171,"[87, 2514, 129, 2685]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0456,13.3,54.5,0.0007,0.0007,0.317134,dimension_line,6824.0,42,172,"[130, 2514, 172, 2686]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0457,49.8,92.0,0.0002,0.0046,0.317134,dimension_line,2187.5,157,290,"[1109, 2533, 1266, 2823]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0458,38.1,39.6,0.0002,0.0015,0.317134,dimension_line,2383.0,120,125,"[3806, 2581, 3926, 2706]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0459,37.7,39.6,0.0002,0.0015,0.317134,dimension_line,2384.5,119,125,"[4811, 2581, 4930, 2706]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0460,30.8,29.8,0.0002,0.0009,0.317134,dimension_line,1577.5,97,94,"[3350, 2582, 3447, 2676]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0461,46.3,43.8,0.0002,0.002,0.317134,dimension_line,2315.0,146,138,"[3359, 2582, 3505, 2720]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0462,46.0,43.4,0.0002,0.002,0.317134,dimension_line,2309.5,145,137,"[3660, 2582, 3805, 2719]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0463,37.7,38.1,0.0002,0.0014,0.317134,dimension_line,1976.0,119,120,"[3927, 2582, 4046, 2702]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0464,39.3,39.3,0.0002,0.0015,0.317134,dimension_line,2034.5,124,124,"[4048, 2582, 4172, 2706]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0465,31.4,31.1,0.0002,0.001,0.317134,dimension_line,1561.5,99,98,"[4353, 2582, 4452, 2680]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0466,46.3,43.8,0.0002,0.002,0.317134,dimension_line,2320.0,146,138,"[4364, 2582, 4510, 2720]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0467,45.7,43.4,0.0002,0.002,0.317134,dimension_line,2288.0,144,137,"[4424, 2582, 4568, 2719]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0468,39.3,39.6,0.0002,0.0016,0.317134,dimension_line,2023.5,124,125,"[4569, 2582, 4693, 2707]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0469,46.0,43.4,0.0002,0.002,0.317134,dimension_line,2312.0,145,137,"[4607, 2582, 4752, 2719]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0470,45.7,43.4,0.0002,0.002,0.317134,dimension_line,2309.0,144,137,"[4665, 2582, 4809, 2719]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0471,37.7,38.1,0.0002,0.0014,0.317134,dimension_line,1944.5,119,120,"[4932, 2582, 5051, 2702]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0472,39.6,39.6,0.0002,0.0016,0.317134,dimension_line,2029.0,125,125,"[5052, 2582, 5177, 2707]",ИЛ ТИТ © Натуральный камень 30 мм
